"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","2022","Under 1 year","Both sexes","Number","57684"
"Population estimates from 1926","2022","1 year","Both sexes","Number","56631"
"Population estimates from 1926","2022","2 years","Both sexes","Number","59250"
"Population estimates from 1926","2022","3 years","Both sexes","Number","60596"
"Population estimates from 1926","2022","4 years","Both sexes","Number","61673"
"Population estimates from 1926","2022","5 years","Both sexes","Number","64232"
"Population estimates from 1926","2022","6 years","Both sexes","Number","66903"
"Population estimates from 1926","2022","7 years","Both sexes","Number","69184"
"Population estimates from 1926","2022","8 years","Both sexes","Number","70916"
"Population estimates from 1926","2022","9 years","Both sexes","Number","72344"
"Population estimates from 1926","2022","10 years","Both sexes","Number","74362"
"Population estimates from 1926","2022","11 years","Both sexes","Number","75309"
"Population estimates from 1926","2022","12 years","Both sexes","Number","76409"
"Population estimates from 1926","2022","13 years","Both sexes","Number","75331"
"Population estimates from 1926","2022","14 years","Both sexes","Number","73468"
"Population estimates from 1926","2022","15 years","Both sexes","Number","70285"
"Population estimates from 1926","2022","16 years","Both sexes","Number","67922"
"Population estimates from 1926","2022","17 years","Both sexes","Number","67840"
"Population estimates from 1926","2022","18 years","Both sexes","Number","66667"
"Population estimates from 1926","2022","19 years","Both sexes","Number","65062"
"Population estimates from 1926","2022","20 years","Both sexes","Number","64285"
"Population estimates from 1926","2022","21 years","Both sexes","Number","62016"
"Population estimates from 1926","2022","22 years","Both sexes","Number","63148"
"Population estimates from 1926","2022","23 years","Both sexes","Number","61910"
"Population estimates from 1926","2022","24 years","Both sexes","Number","60582"
"Population estimates from 1926","2022","25 years","Both sexes","Number","60299"
"Population estimates from 1926","2022","26 years","Both sexes","Number","58928"
"Population estimates from 1926","2022","27 years","Both sexes","Number","59374"
"Population estimates from 1926","2022","28 years","Both sexes","Number","59200"
"Population estimates from 1926","2022","29 years","Both sexes","Number","61333"
"Population estimates from 1926","2022","30 years","Both sexes","Number","64580"
"Population estimates from 1926","2022","31 years","Both sexes","Number","66283"
"Population estimates from 1926","2022","32 years","Both sexes","Number","67159"
"Population estimates from 1926","2022","33 years","Both sexes","Number","66717"
"Population estimates from 1926","2022","34 years","Both sexes","Number","69787"
"Population estimates from 1926","2022","35 years","Both sexes","Number","73565"
"Population estimates from 1926","2022","36 years","Both sexes","Number","75211"
"Population estimates from 1926","2022","37 years","Both sexes","Number","76151"
"Population estimates from 1926","2022","38 years","Both sexes","Number","79016"
"Population estimates from 1926","2022","39 years","Both sexes","Number","81867"
"Population estimates from 1926","2022","40 years","Both sexes","Number","84847"
"Population estimates from 1926","2022","41 years","Both sexes","Number","85510"
"Population estimates from 1926","2022","42 years","Both sexes","Number","85562"
"Population estimates from 1926","2022","43 years","Both sexes","Number","81081"
"Population estimates from 1926","2022","44 years","Both sexes","Number","77726"
"Population estimates from 1926","2022","45 years","Both sexes","Number","77106"
"Population estimates from 1926","2022","46 years","Both sexes","Number","75821"
"Population estimates from 1926","2022","47 years","Both sexes","Number","74852"
"Population estimates from 1926","2022","48 years","Both sexes","Number","74064"
"Population estimates from 1926","2022","49 years","Both sexes","Number","74162"
"Population estimates from 1926","2022","50 years","Both sexes","Number","73528"
"Population estimates from 1926","2022","51 years","Both sexes","Number","70348"
"Population estimates from 1926","2022","52 years","Both sexes","Number","69156"
"Population estimates from 1926","2022","53 years","Both sexes","Number","65229"
"Population estimates from 1926","2022","54 years","Both sexes","Number","64618"
"Population estimates from 1926","2022","55 years","Both sexes","Number","63761"
"Population estimates from 1926","2022","56 years","Both sexes","Number","62359"
"Population estimates from 1926","2022","57 years","Both sexes","Number","63101"
"Population estimates from 1926","2022","58 years","Both sexes","Number","60908"
"Population estimates from 1926","2022","59 years","Both sexes","Number","59615"
"Population estimates from 1926","2022","60 years","Both sexes","Number","58920"
"Population estimates from 1926","2022","61 years","Both sexes","Number","57109"
"Population estimates from 1926","2022","62 years","Both sexes","Number","55525"
"Population estimates from 1926","2022","63 years","Both sexes","Number","52647"
"Population estimates from 1926","2022","64 years","Both sexes","Number","51633"
"Population estimates from 1926","2022","65 years","Both sexes","Number","50991"
"Population estimates from 1926","2022","66 years","Both sexes","Number","48871"
