"Date","Daily_Case_0_24","Daily_Case_25_44","Daily_Case_45_64","Daily_Case_65_plus","Daily_Hospi_0_24","Daily_Hospi_25_44","Daily_Hospi_45_64","Daily_Hospi_65_plus","Total_Daily_Cases","Total_Daily_Hospi"
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,1,0,0,1
2020-03-04,0,0,1,0,1,2,0,0,1,3
2020-03-05,1,2,0,0,1,2,0,0,3,3
2020-03-06,1,2,0,0,0,1,1,0,3,2
2020-03-07,0,2,3,0,0,1,1,0,5,2
2020-03-08,0,2,1,0,0,0,0,2,3,2
2020-03-09,0,0,0,2,0,1,4,0,2,5
2020-03-10,0,1,5,1,0,3,5,2,7,10
2020-03-11,1,4,5,2,0,2,4,3,12,9
2020-03-12,0,2,6,4,2,5,2,2,12,11
2020-03-13,10,10,7,2,1,2,4,1,29,8
2020-03-14,3,9,17,3,0,0,2,5,32,7
2020-03-15,3,10,12,8,1,1,1,2,33,5
2020-03-16,3,15,6,3,3,9,6,7,27,25
2020-03-17,9,50,22,17,3,7,6,11,98,27
2020-03-18,15,33,16,15,1,6,11,12,79,30
2020-03-19,8,31,27,18,1,7,10,14,84,32
2020-03-20,12,55,48,27,4,7,18,8,142,37
2020-03-21,9,46,52,19,1,7,5,11,126,24
2020-03-22,10,54,43,17,1,5,15,17,124,38
2020-03-23,9,43,50,26,1,3,14,17,128,35
2020-03-24,20,69,67,42,0,3,18,25,198,46
2020-03-25,22,70,84,44,3,16,16,37,220,72
2020-03-26,17,102,74,53,2,10,27,51,246,90
2020-03-27,17,96,84,65,3,17,32,39,262,91
2020-03-28,23,112,107,67,2,17,24,44,309,87
2020-03-29,16,89,82,70,1,3,21,31,257,56
2020-03-30,10,60,74,50,4,11,28,57,194,100
2020-03-31,17,85,96,105,2,14,24,41,303,81
2020-04-01,22,111,89,67,3,20,31,65,289,119
2020-04-02,19,122,137,88,1,7,31,52,366,91
2020-04-03,24,125,121,90,1,12,26,64,360,103
2020-04-04,20,126,127,154,0,14,22,59,427,95
2020-04-05,18,162,126,155,0,11,23,41,461,75
2020-04-06,69,272,237,98,0,11,31,55,676,97
2020-04-07,20,129,120,116,3,4,17,29,385,53
2020-04-08,25,155,178,106,3,15,38,56,464,112
2020-04-09,43,242,206,122,3,8,21,57,613,89
2020-04-10,58,229,259,152,3,6,21,31,698,61
2020-04-11,63,279,241,122,1,8,19,46,705,74
