"V1","V2","V3","V4"
5,11,5,3
4,12,7,0
9,7,7,0
10,8,7,1
8,3,13,0
15,9,10,1
30,3,22,2
40,10,20,2
66,4,33,4
60,19,23,6
76,23,31,3
101,35,45,10
86,48,29,8
177,74,36,7
153,76,52,6
169,92,37,12
202,143,120,13
288,261,159,21
388,237,163,27
290,97,155,26
558,396,152,44
372,562,190,57
302,439,196,86
452,511,219,56
397,604,199,50
352,937,199,76
378,916,156,88
716,585,245,48
669,942,239,64
523,831,172,47
223,864,199,59
740,683,192,50
392,625,91,39
409,511,113,24
309,828,101,46
314,562,159,37
322,393,109,27
302,561,57,15
327,372,58,29
166,261,56,21
221,241,52,16
229,178,62,6
303,147,23,10
136,76,16,7
252,165,51,8
172,71,24,2
139,41,16,3
190,38,14,3
165,12,25,3
209,27,22,3
137,34,7,2
146,24,15,1
326,32,12,1
231,28,13,4
213,25,22,0
330,17,19,0
206,34,24,1
298,23,25,2
252,24,39,5
567,33,29,3
344,38,36,4
547,79,35,6
329,75,46,3
592,76,67,2
774,123,51,2
778,101,85,3
714,129,131,4
760,205,181,5
996,219,204,6
796,154,345,8
891,155,453,19
881,221,588,24
1314,524,271,20
731,449,325,32
1071,543,465,30
934,779,342,55
473,766,420,70
541,361,510,40
570,834,473,87
445,815,526,59
684,624,345,77
438,622,309,96
401,706,430,133
626,978,624,76
462,1022,313,119
430,628,364,101
347,782,326,110
436,754,318,74
263,521,331,98
390,713,151,54
209,1146,304,59
256,445,151,46
233,382,270,51
348,412,174,53
187,324,123,43
177,182,61,18
226,178,91,11
173,164,43,11
122,116,52,16
81,81,31,10
