"V1","V2","V3","V4"
1,11,2,0
4,6,5,1
6,3,2,2
20,5,5,2
13,9,7,0
31,7,13,2
32,8,21,0
60,14,19,1
52,20,22,4
54,12,34,3
101,39,38,8
79,42,50,10
93,42,60,11
137,64,48,21
236,95,67,24
207,106,109,36
316,154,82,35
288,145,30,42
252,330,134,44
389,258,178,53
493,240,139,72
609,412,148,87
415,408,161,90
358,402,261,91
576,470,236,64
577,965,148,131
400,976,228,132
480,815,204,96
328,363,212,126
512,1202,150,121
356,644,152,111
380,746,83,107
284,588,170,67
329,507,135,97
431,485,97,70
236,455,88,33
271,437,102,37
417,203,80,30
334,240,75,27
422,244,42,33
256,197,39,15
150,93,21,17
285,202,59,20
152,79,27,9
184,49,25,6
190,50,26,5
190,73,32,4
214,32,27,4
140,39,8,4
164,26,18,2
318,32,14,2
220,26,13,6
196,22,21,1
292,13,16,1
175,26,20,3
249,16,18,3
206,15,29,7
459,23,21,4
279,23,26,5
442,54,24,3
619,25,42,5
450,49,46,2
641,77,35,2
652,62,58,3
607,81,89,5
651,129,133,6
869,136,148,8
711,96,265,11
827,99,351,24
841,145,460,31
1286,344,218,27
738,303,266,41
1121,378,383,36
1009,557,288,66
526,569,362,83
615,278,450,47
647,652,431,108
507,644,494,80
781,500,335,101
502,520,309,131
459,619,445,189
710,882,670,113
520,947,345,178
480,603,415,160
392,782,378,174
493,783,375,126
303,563,402,175
452,804,188,100
244,1339,380,115
303,539,194,90
275,476,361,113
413,528,241,111
221,426,178,101
242,251,88,48
267,311,131,32
189,294,69,35
137,168,75,46
90,121,47,37
174,117,46,38
153,76,42,5
